step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
81,800,81,1,243,1.130980964,0.003198253529;0.007749535952;0.003631337513;4.50934473,1.130367178;1.131831732;1.130743983,biomass;glucose;product;gp_nll,run_2;run_3;run_1,7.980421,0,,,1.130980964,7.980421,1.084163166,0,
82,800,82,1,246,1.122343556,0.003173708456;0.007700476879;0.003591469723;4.474908571,1.123163598;1.121758912;1.12210816,biomass;glucose;product;gp_nll,run_3;run_2;run_1,8.103017,0,,,1.122343556,8.103017,1.075619505,0,
83,800,83,1,249,1.113808723,0.003148322234;0.007651622185;0.003550827481;4.440884121,1.114597876;1.113575581;1.113252712,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.970742,0,,,1.113808723,7.970742,1.06718076,0,
84,800,84,1,252,1.105375029,0.003122224034;0.007602994869;0.003509552379;4.407265346,1.105144814;1.106133259;1.104847015,biomass;glucose;product;gp_nll,run_1;run_3;run_2,7.426205,0,,,1.105375029,7.426205,1.05884538,0,
85,800,85,1,255,1.097041061,0.003095537679;0.007554622971;0.003467777953;4.374046306,1.096540281;1.096814445;1.097768457,biomass;glucose;product;gp_nll,run_2;run_1;run_3,7.886839,0,,,1.097041061,7.886839,1.050611821,0,
86,800,86,1,258,1.088805426,0.003068381764;0.007506539379;0.003425629521;4.341221152,1.088330994;1.089502202;1.08858308,biomass;glucose;product;gp_nll,run_2;run_3;run_1,7.507888,0,,,1.088805426,7.507888,1.042478553,0,
87,800,87,1,261,1.080666748,0.003040869514;0.007458781873;0.003383224303;4.308784116,1.080449342;1.081333242;1.08021766,biomass;glucose;product;gp_nll,run_1;run_3;run_2,7.610108,0,,,1.080666748,7.610108,1.034444052,0,
88,800,88,1,264,1.072623671,0.003013108862;0.007411392963;0.003340671325;4.276729511,1.072411867;1.073260339;1.072198806,biomass;glucose;product;gp_nll,run_1;run_3;run_2,5.825864,0,,,1.072623671,5.825864,1.026506807,0,
89,800,89,1,267,1.064674854,0.002985202566;0.00736441987;0.003298071527;4.245051722,1.064469308;1.064272981;1.065282274,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.744167,0,,,1.064674854,6.744167,1.018665315,0,
90,800,90,1,270,1.05681897,0.002957247956;0.007317914114;0.003255517606;4.213745201,1.057397834;1.05643875;1.056620326,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.245431,0,,,1.05681897,6.245431,1.010918086,0,
91,800,91,1,273,1.049054699,0.0029293228;0.007271932318;0.003213077122;4.182804465,1.049605799;1.048694701;1.048863598,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.879095,0,,,1.049054699,6.879095,1.003263628,0,
92,800,92,1,276,1.04138076,0.002901547362;0.007226533645;0.003170865645;4.152224094,1.041039441;1.041197809;1.04190503,biomass;glucose;product;gp_nll,run_2;run_1;run_3,6.798257,0,,,1.04138076,6.798257,0.9957005013,0,
93,800,93,1,279,1.033795858,0.002873990357;0.007181783539;0.003128936209;4.121998723,1.034294324;1.033471594;1.033621657,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.573290,0,,,1.033795858,7.573290,0.9882272362,0,
94,800,94,1,282,1.026298721,0.002846732687;0.007137750449;0.003087354703;4.092123045,1.026133847;1.025989806;1.02677251,biomass;glucose;product;gp_nll,run_1;run_2;run_3,7.048931,0,,,1.026298721,7.048931,0.9808423903,0,
95,800,95,1,285,1.018888088,0.002819854705;0.007094506102;0.003046183942;4.062591807,1.018733095;1.019338428;1.01859274,biomass;glucose;product;gp_nll,run_1;run_3;run_2,6.411437,0,,,1.018888088,6.411437,0.9735445321,0,
96,800,96,1,288,1.011562708,0.002793427428;0.007052125137;0.003005474203;4.033399807,1.011279084;1.011418128;1.011990913,biomass;glucose;product;gp_nll,run_2;run_1;run_3,6.027397,0,,,1.011562708,6.027397,0.9663322434,0,
97,800,97,1,291,1.004321358,0.002767544065;0.007010686885;0.002965303636;4.004541897,1.004728849;1.004187681;1.004047543,biomass;glucose;product;gp_nll,run_3;run_1;run_2,6.022942,0,,,1.004321358,6.022942,0.9592041322,0,
98,800,98,1,294,0.9971628073,0.00274226804;0.006970268863;0.0029257108;3.976012982,0.997551073;0.9970405023;0.9968968466,biomass;glucose;product;gp_nll,run_3;run_1;run_2,7.224443,0,,,0.9971628073,7.224443,0.9521588002,0,
99,800,99,1,297,0.9900858508,0.002717678575;0.006930952807;0.002886755513;3.947808016,0.9899753473;0.9898257466;0.9904564584,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.583973,0,,,0.9900858508,6.583973,0.9451948597,0,
100,800,100,1,300,0.9830892858,0.002693839722;0.006892817348;0.002848476855;3.919922009,0.9829909843;0.9828330195;0.9834438535,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.796831,0,,,0.9830892858,6.796831,0.9383109526,0,
101,800,101,1,303,0.9761719272,0.002670821527;0.006855940673;0.002810924169;3.892350022,0.9765121219;0.9760861929;0.9759174668,biomass;glucose;product;gp_nll,run_3;run_1;run_2,5.559624,0,,,0.9761719272,5.559624,0.9315057219,0,
102,800,102,1,306,0.969332602,0.002648691839;0.006820398203;0.00277414558;3.865087172,0.9692597646;0.969077916;0.9696601253,biomass;glucose;product;gp_nll,run_1;run_2;run_3,6.472206,0,,,0.969332602,6.472206,0.9247778202,0,
103,800,103,1,309,0.9625701487,0.002627515131;0.006786261375;0.002738187824;3.83812863,0.9628867213;0.9623132214;0.9625105033,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.466950,0,,,0.9625701487,7.466950,0.9181259094,0,
104,800,104,1,312,0.9558834175,0.002607351602;0.006753596125;0.002703096149;3.811469626,0.956190761;0.9556222652;0.9558372262,biomass;glucose;product;gp_nll,run_3;run_2;run_1,6.520442,0,,,0.9558834175,6.520442,0.9115486604,0,
105,800,105,1,315,0.9492712702,0.002588257723;0.006722461184;0.002668915843;3.785105446,0.9490039571;0.9492387639;0.9495710896,biomass;glucose;product;gp_nll,run_2;run_1;run_3,6.114299,0,,,0.9492712702,6.114299,0.9050447532,0,
106,800,106,1,318,0.9427325799,0.002570284586;0.006692906682;0.002635691258;3.759031437,0.9424572351;0.943026544;0.9427139607,biomass;glucose;product;gp_nll,run_2;run_3;run_1,7.080405,0,,,0.9427325799,7.080405,0.8986128763,0,
107,800,107,1,321,0.9362662301,0.002553475748;0.006664972718;0.002603464301;3.733243008,0.9359810646;0.9365559502;0.9362616756,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.539745,0,,,0.9362662301,6.539745,0.8922517277,0,
