step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
87,800,87,1,261,0.002618649067,0.003032255882;0.003557573786;0.001266117534,0.002585287895;0.003025681566;0.002244977741,biomass;glucose;product,run_1;run_3;run_2,0.027558,0,,,0.002618649067,0.027558,0.01199520016,0,
88,800,88,1,264,0.002553566384,0.002915758639;0.003548747643;0.001196192869,0.002451267894;0.002983452874;0.002225978382,biomass;glucose;product,run_1;run_3;run_2,0.034504,0,,,0.002553566384,0.034504,0.01233063984,0,
89,800,89,1,267,0.002489577182,0.002766998137;0.00353503061;0.001166702798,0.00232736428;0.002205189259;0.002936178006,biomass;glucose;product,run_1;run_2;run_3,0.016094,0,,,0.002489577182,0.016094,0.01305723972,0,
90,800,90,1,270,0.002416401395,0.00259884947;0.00350737698;0.001142977735,0.00286343208;0.002173253596;0.002212518508,biomass;glucose;product,run_3;run_2;run_1,0.023117,0,,,0.002416401395,0.023117,0.01349298663,0,
91,800,91,1,273,0.002329274315,0.002424719784;0.003461862228;0.001101240934,0.002761957999;0.002123711175;0.002102153772,biomass;glucose;product,run_3;run_2;run_1,0.009482,0,,,0.002329274315,0.009482,0.01310719813,0,
92,800,92,1,276,0.002235097857,0.002251786104;0.003400420127;0.001053087341,0.002059650266;0.001995374983;0.002650268322,biomass;glucose;product,run_2;run_1;run_3,0.012709,0,,,0.002235097857,0.012709,0.01205264636,0,
93,800,93,1,279,0.0021461335,0.002083652189;0.003329155629;0.001025592681,0.002553000323;0.001990176313;0.001895223863,biomass;glucose;product,run_3;run_2;run_1,0.015635,0,,,0.0021461335,0.015635,0.01094968167,0,
94,800,94,1,282,0.002069159378,0.001927068655;0.003255527374;0.001024882106,0.001804356123;0.001922052444;0.002481069567,biomass;glucose;product,run_1;run_2;run_3,0.007098,0,,,0.002069159378,0.007098,0.01011472248,0,
95,800,95,1,285,0.002004135153,0.001794564391;0.00318498937;0.001032851699,0.001723181251;0.002431039606;0.001858184603,biomass;glucose;product,run_1;run_3;run_2,0.019446,0,,,0.002004135153,0.019446,0.009341197414,0,
96,800,96,1,288,0.001949319108,0.001696059448;0.003117595541;0.001034302334,0.001801323407;0.001650677437;0.002395956478,biomass;glucose;product,run_2;run_1;run_3,0.015115,0,,,0.001949319108,0.015115,0.008528651008,0,
97,800,97,1,291,0.001901636094,0.001627080211;0.003047202776;0.001030625295,0.002367196256;0.001583930541;0.001753781485,biomass;glucose;product,run_3;run_1;run_2,0.022652,0,,,0.001901636094,0.022652,0.007729736474,0,
98,800,98,1,294,0.001855691999,0.001571893103;0.00296634909;0.001028833803,0.002333478725;0.001518642969;0.001714954302,biomass;glucose;product,run_3;run_1;run_2,0.010741,0,,,0.001855691999,0.010741,0.006686124729,0,
99,800,99,1,297,0.00180872829,0.001521394255;0.00287366137;0.001031129246,0.001452815597;0.00168367729;0.002289691985,biomass;glucose;product,run_1;run_2;run_3,0.010988,0,,,0.00180872829,0.010988,0.005233545494,0,
100,800,100,1,300,0.001764312772,0.001481673309;0.002776280001;0.001034985008,0.001388917275;0.001661055201;0.002242965841,biomass;glucose;product,run_1;run_2;run_3,0.015465,0,,,0.001764312772,0.015465,0.004387877742,0,
101,800,101,1,303,0.001727146782,0.001460947368;0.002684794562;0.001035698417,0.002202851126;0.001330779486;0.001647809734,biomass;glucose;product,run_3;run_1;run_2,0.030868,0,,,0.001727146782,0.030868,0.005468606802,0,
102,800,102,1,306,0.001696885161,0.001453671028;0.002605945725;0.001031038729,0.001279453958;0.001641052861;0.002170148663,biomass;glucose;product,run_1;run_2;run_3,0.005767,0,,,0.001696885161,0.005767,0.007145959348,0,
103,800,103,1,309,0.001670257718,0.001445139422;0.002539656378;0.001025977354,0.002141247552;0.001636387075;0.001233138527,biomass;glucose;product,run_3;run_2;run_1,0.028698,0,,,0.001670257718,0.028698,0.008254559259,0,
104,800,104,1,312,0.001644804293,0.001427711429;0.002481277975;0.001025423476,0.002114987782;0.001630215911;0.001189209188,biomass;glucose;product,run_3;run_2;run_1,0.013780,0,,,0.001644804293,0.013780,0.008788296228,0,
105,800,105,1,315,0.001617696334,0.001404013258;0.002425583292;0.001023492452,0.001618751427;0.001145447173;0.002088890402,biomass;glucose;product,run_2;run_1;run_3,0.019817,0,,,0.001617696334,0.019817,0.008835708468,0,
106,800,106,1,318,0.001586645436,0.001378465414;0.002369648462;0.001011822432,0.001599566979;0.00205846314;0.00110190619,biomass;glucose;product,run_2;run_3;run_1,0.046090,0,,,0.001586645436,0.046090,0.008299300167,0,
107,800,107,1,321,0.001553405557,0.001352509993;0.002313630827;0.0009940758497,0.001574716928;0.002023399336;0.001062100406,biomass;glucose;product,run_2;run_3;run_1,0.008148,0,,,0.001553405557,0.008148,0.007377992437,0,
108,800,108,1,324,0.001521750316,0.001326066232;0.002259573273;0.0009796114442,0.001548417303;0.001986532995;0.001030300652,biomass;glucose;product,run_2;run_3;run_1,0.036444,0,,,0.001521750316,0.036444,0.006504553096,0,
109,800,109,1,327,0.001492832955,0.001300238965;0.002209577869;0.0009686820304,0.001007918795;0.001948079624;0.001522500445,biomass;glucose;product,run_1;run_3;run_2,0.033107,0,,,0.001492832955,0.033107,0.005751897649,0,
