step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
101,400,101,1,303,0.0003780871062,0.0001315464595;0.0006246277529,0.0003826608308;0.0002810281504;0.0004705723374,biomass;glyco_frac,run_3;run_1;run_2,0.002812,0,,,0.0003780871062,0.002812,0.006443442507,0,
102,400,102,1,306,0.0003655363569,0.0001248169348;0.000606255779,0.000272038526;0.0004557579123;0.0003688126325,biomass;glyco_frac,run_1;run_2;run_3,0.002302,0,,,0.0003655363569,0.002302,0.005983569084,0,
103,400,103,1,309,0.0003528487116,0.0001165854067;0.0005891120165,0.000355102809;0.000439844015;0.0002635993107,biomass;glyco_frac,run_3;run_2;run_1,0.002696,0,,,0.0003528487116,0.002696,0.005389453725,0,
104,400,104,1,312,0.0003406945809,0.0001082724311;0.0005731167308,0.0003418884967;0.0004241130429;0.0002560822031,biomass;glyco_frac,run_3;run_2;run_1,0.002517,0,,,0.0003406945809,0.002517,0.004714664205,0,
105,400,105,1,315,0.000329654415,0.0001011135563;0.0005581952738,0.0004096948343;0.0002497811586;0.0003294872523,biomass;glyco_frac,run_2;run_1;run_3,0.002975,0,,,0.000329654415,0.002975,0.004028938469,0,
106,400,106,1,318,0.0003201238102,9.596985886e-05;0.0005442777616,0.0003973983991;0.0003181279036;0.000244845128,biomass;glyco_frac,run_2;run_3;run_1,0.003655,0,,,0.0003201238102,0.003655,0.003421724826,0,
107,400,107,1,321,0.0003122623836,9.322599441e-05;0.0005312987729,0.0003876193588;0.0003079228785;0.0002412449136,biomass;glyco_frac,run_2;run_3;run_1,0.002856,0,,,0.0003122623836,0.002856,0.002996710827,0,
108,400,108,1,324,0.0003059909178,9.27847698e-05;0.0005191970659,0.0003803310282;0.0002988643061;0.0002387774192,biomass;glyco_frac,run_2;run_3;run_1,0.002333,0,,,0.0003059909178,0.002333,0.002832191322,0,
109,400,109,1,327,0.0003010329968,9.415068026e-05;0.0005079153134,0.0002371040309;0.0002908421549;0.0003751528046,biomass;glyco_frac,run_1;run_3;run_2,0.002627,0,,,0.0003010329968,0.002627,0.002914145293,0,
110,400,110,1,330,0.0002969893909,9.657892719e-05;0.0004973998545,0.0002358136067;0.0002836787837;0.0003714757821,biomass;glyco_frac,run_1;run_3;run_2,0.003220,0,,,0.0002969893909,0.003220,0.003137069512,0,
111,400,111,1,333,0.0002934275973,9.925473241e-05;0.0004876004622,0.0002771714104;0.0003686153872;0.0002344959943,biomass;glyco_frac,run_3;run_2;run_1,0.003113,0,,,0.0002934275973,0.003113,0.003382093675,0,
112,400,112,1,336,0.0002899668517,0.0001014635783;0.0004784701251,0.0003659571707;0.0002711329512;0.0002328104331,biomass;glyco_frac,run_2;run_3;run_1,0.002897,0,,,0.0002899668517,0.002897,0.00356594801,0,
113,400,113,1,339,0.000286341364,0.0001027178839;0.000469964844,0.0003630660346;0.0002305352198;0.0002654228375,biomass;glyco_frac,run_2;run_1;run_3,0.003175,0,,,0.000286341364,0.003175,0.003643754027,0,
114,400,114,1,342,0.0002824309582,0.0001028184759;0.0004620434404,0.000359740187;0.0002599625046;0.0002275901829,biomass;glyco_frac,run_2;run_3;run_1,0.002184,0,,,0.0002824309582,0.002184,0.003599285583,0,
115,400,115,1,345,0.0002782568802,0.0001018463829;0.0004546673776,0.0002240303761;0.0003560058614;0.0002547344033,biomass;glyco_frac,run_1;run_2;run_3,0.002490,0,,,0.0002782568802,0.002490,0.003436737251,0,
116,400,116,1,348,0.0002739488182,0.000100097043;0.0004478005933,0.0003520630699;0.0002200159999;0.0002497673847,biomass;glyco_frac,run_2;run_1;run_3,0.003100,0,,,0.0002739488182,0.003100,0.003175230415,0,
117,400,117,1,351,0.000269694923,9.798050344e-05;0.0004414093425,0.0002157681468;0.0002451140932;0.0003482025289,biomass;glyco_frac,run_1;run_3;run_2,0.002075,0,,,0.000269694923,0.002075,0.002845209,0,
118,400,118,1,354,0.00026568861,9.59151695e-05;0.0004354620506,0.0003447173067;0.0002115215655;0.0002408269578,biomass;glyco_frac,run_2;run_1;run_3,0.002220,0,,,0.00026568861,0.002220,0.00248618794,0,
119,400,119,1,357,0.0002620842241,9.423927278e-05;0.0004299291755,0.0002074843135;0.0002369385429;0.000341829816,biomass;glyco_frac,run_1;run_3;run_2,0.002393,0,,,0.0002620842241,0.002393,0.002145182329,0,
120,400,120,1,360,0.00025896939,9.315570068e-05;0.0004247830793,0.0002334499493;0.0003396474321;0.0002038107886,biomass;glyco_frac,run_3;run_2;run_1,0.002049,0,,,0.00025896939,0.002049,0.001873118899,0,
121,400,121,1,363,0.00025635665,9.271539293e-05;0.000419997907,0.0002005904784;0.0002303284265;0.000338151045,biomass;glyco_frac,run_1;run_3;run_2,0.002245,0,,,0.00025635665,0.002245,0.001712468701,0,
122,400,122,1,366,0.0002541923022,9.283513086e-05;0.0004155494736,0.0002275130946;0.0001978510111;0.0003372128009,biomass;glyco_frac,run_3;run_1;run_2,0.003492,0,,,0.0002541923022,0.003492,0.001673977284,0,
